1,6862200,17798800,5000,3000,53100,14500,4500,3800
100,1251800,549100,36500,96500,582300,202900,141500,156800
200,1586700,1479800,58900,149300,1541600,307900,291400,150200
300,2668900,1855500,93200,191900,1694500,240100,115000,124100
400,3725600,2011800,157000,389600,3318800,341900,172200,152600
500,5010800,1823000,134800,268500,4632500,398700,190000,172900
600,6830900,2239100,163100,327500,5078000,559500,695500,308900
700,8022600,2317700,173300,406900,7647700,1203300,670400,446000
800,10114600,2084700,791800,356300,6942000,553400,667300,264600
900,10163100,2523500,727600,403100,9423800,669500,1371000,466300
1000,11998200,2762600,986600,978700,13549600,818800,782100,318700
1100,12220000,2860500,854100,471500,11972100,767300,1772800,585000
1200,14550700,3566600,843300,520600,12507100,1206100,896500,419500
1300,14748300,2966600,1150300,1026800,12574600,871500,869200,450800
1400,17335300,3021300,937200,604600,15516200,1160300,934000,461300
1500,20103000,3758200,986900,1475200,17650500,873500,950800,496900
